loc,phi,trise,NAR,active_trimer,S2c,S2n,pS2c,pS2n,S4c,S4n,pS22c,pS22n,pS24c,pS24n,pS224c,pS224n
127,0.000364415244354534,10178.6999104654,0.000150097556944857,15.1179740834256,0.569165048473586,0.441399192157161,0.0460229037333325,0.0351658705527731,497748.266820364,497277.904878703,0.000163055645686005,0.000248153764151647,2812.34284760736,2136.4427283626,9.94287377850771,15.1179740834256
149,0.0128367529667016,9295.81322106249,0.00508799096098743,1233.94897501391,25.7179860904544,19.9448277359384,1.20146844551483,5.65425496523371,3802.28065463513,2561.15773621632,0.147963153967021,3.9323691674095,575.375307833242,1758.42785315498,68.8098105115176,1233.94897501391
117,0.176884276938646,6265.08700272399,0.0809610406606499,1547.55194248519,548.459026368437,425.341246449273,5.0520370540017,27.9009439772203,184.798745330955,132.658115232295,3.0466926160945,95.1117444029287,117.173309938897,450.984421290927,66.8340463166129,1547.55194248519
59,0.553225443236932,5716.24538877018,0.263646840584385,564.482966717092,1083.86710883943,840.561216614699,0.950349129068334,3.29707015256834,4144.00386397117,3394.89942449597,0.0845334851957703,1.35709881898184,491.943247586914,1361.80969753145,42.8610272820539,564.482966717092
133,0.0846652709334342,8308.60905887854,0.0358719369279769,1549.19667676417,198.839898188958,154.20443772511,1.97303972439265,12.2853314242016,1339.63033385619,685.266849575935,0.433091378017644,18.449119796638,332.480145218105,1022.79456876885,70.6322878887488,1549.19667676417
137,0.0497504845079869,3626.6962474966,0.0242302006979571,1121.25189695696,700.607158430231,543.335249772847,51.3482908601317,43.2870231968661,1.22251431986904,39.8300265817472,323.047819367885,229.574360439788,8.18115231929971,210.678696957436,47.4070751450496,1121.25189695696
115,0.100125339513241,8165.76623834017,0.0426959882588522,1517.2545078044,236.019218560967,183.037733789639,1.95223908722758,12.0066462229639,1353.54909260703,702.467525693606,0.422590721518675,17.6264430879729,332.336492906457,1024.74618031006,69.6470605846461,1517.2545078044
62,0.842231711229951,3130.87218804667,0.484282307871356,437.55827832075,1802.65005115346,1397.99216150784,1.5933748190911,5.48357247535479,1067.5380213587,950.268678101379,0.239727975918239,3.75721954551348,210.012649382329,636.754998359346,31.2012979810026,437.55827832075
51,0.90627274847552,1479.48018084207,0.630914329980821,16.0925277954777,2368.3503975544,1836.70440603651,52.5867694012856,3.60220250291803,0.0791292424027792,53.5910578281953,333.993280284343,2.8836300760358,0.49491925574858,27.1622321576664,2.58013405927094,16.0925277954777
135,0.153908033496702,6486.49862712584,0.069449226925728,1602.08341895729,479.709744697821,372.024762357894,5.5249652008993,29.6388713929981,157.989035531312,121.739316315391,3.67877545813879,107.286274752318,109.775392278757,439.597679311697,68.8157476929484,1602.08341895729
