loc,phi,trise,NAR,active_trimer,S2c,S2n,pS2c,pS2n,S4c,S4n,pS22c,pS22n,pS24c,pS24n,pS224c,pS224n
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,0.432862989575701,207.211582630746,0.361011636789891,0.00178200489275999,46.7142137837734,36.2278328280877,6.53662469046991,0.0355255831194711,0.00764003118171869,0.179216211205793,5.16961737325871,0.0640824691373366,0.00532288868406119,0.00256119604792577,0.00347766799551178,0.00178200489275999
36,0.432978470008424,1077.96351185971,0.357345629816476,0.000179914266057868,46.5600057421556,36.1082413225576,6.60219053558621,0.0472110797415047,0.000751136490287863,0.0179093404363934,5.27507726140006,0.0651642778774943,0.000528499602738672,0.000282275689431124,0.000348833533222481,0.000179914266057868
34,0.436018244096946,206.959405318507,0.366559171307213,0.00354663791292781,46.8513010220592,36.3341467987202,6.47150718064452,0.0475064483633204,0.0155620577504757,0.357587224942351,5.06578270061857,0.0633143300118535,0.0107504920491935,0.00560649066395037,0.00694709669109963,0.00354663791292781
35,0.434373279749533,212.561133875007,0.361638341723287,0.00178681255927728,46.6982999584359,36.2154913294878,6.54040915960678,0.0473513078022276,0.00763709131597659,0.178953911674613,5.17560932236835,0.0642761836299491,0.00532732318870416,0.00281343751241015,0.00348142375839419,0.00178681255927728
39,1.14664318500318,825.926449434108,0.911080174955663,0.122519707730032,48.3846621868748,37.5233009466044,0.203364438309597,0.0735918957096561,388.115064491504,398.352504317819,0.00317055425877955,0.00247315890572049,9.54280087922318,3.71826827279734,0.148842269611043,0.122519707730032
50,0.583478679252032,237.334820021206,0.573326241597988,0.0474305568475688,51.0131899792477,39.5617772185038,4.27004033431786,0.0775898029582537,0.524732001523049,5.64381078711359,2.17056588953893,0.0440303690228787,0.247044862333418,0.10099280395363,0.102655663287225,0.0474305568475688
19,0.599894701752779,6124.38809406643,0.28199309849585,0.120547793631189,19.6588906646743,15.2458737266254,0.0329679991953577,0.0199337916743427,9966.4564808943,9968.72354892497,8.31206324514185e-05,9.86653856659128e-05,40.225098365609,24.3729003202854,0.101438143559183,0.120547793631189
41,1.04572442225137,337.795084517621,0.944673354958452,0.103972554977597,52.3869856638148,40.6271840040112,0.436088718710587,0.0796793122621204,91.5530984303795,102.289412508996,0.0152216283402723,0.00774275350026483,4.76436634685492,1.12647827036361,0.162671921982954,0.103972554977597
12,0.939895525356469,216.617326036585,0.840498339767019,0.077686137414336,53.9007840381764,41.8011614506189,1.82421771097949,0.0409908512529283,4.81834767611357,13.7724234980868,0.359007989240694,0.030414731809822,1.00913597645213,0.155321080752408,0.167085616894795,0.077686137414336
29,0.967357354612619,204.912323678873,0.896577073792036,0.0836001348769934,54.0468070027331,41.9144134835712,1.40299751795125,0.0548026079199978,8.60241515979174,18.0984592149785,0.200461558000064,0.0266992830271468,1.39800315498324,0.216447538877062,0.172503334180212,0.0836001348769934
37,0.471345961280208,6995.00905448472,0.213067824770978,0.153255969792804,15.2876370423818,11.855876707258,0.0359363516874604,0.0232521186330106,9963.84910819723,9963.62803290298,9.8949092468356e-05,0.000125503804099645,43.8692212532749,28.3796661698788,0.120723276877001,0.153255969792804
13,0.728020859412301,246.836877881589,0.667607869805842,0.0607201049661352,52.5125824568171,40.7245868818233,3.25066386729878,0.0399351707796545,1.19176453220427,8.07629583275203,1.23440579086568,0.0379957235106573,0.433544652115732,0.10290598972562,0.134768878472305,0.0607201049661352
32,0.577129701505502,232.689829161884,0.571579427177397,0.0469420442822144,51.0577408748359,39.5963273532547,4.25934179741993,0.0517717091756585,0.526067037735085,5.66092785691614,2.15955614997073,0.0433726546932034,0.246809728879718,0.083573217370792,0.102346789865959,0.0469420442822144
33,0.4535097204369,201.402832799278,0.412220273901693,0.016719528355648,48.0464895602076,37.261040072738,5.9114469329574,0.0487183498758522,0.0911560753805643,1.77289261738729,4.21632369959009,0.0564828023663196,0.0579460132619221,0.0272645364093064,0.0340212292106033,0.016719528355648
49,0.73773298395388,253.734844732839,0.670466732621822,0.0617959603768078,52.4421799769053,40.6699882967451,3.26647266774534,0.0797632608176606,1.18617691222477,8.04099632698343,1.24672974550209,0.038981731226531,0.434154927561989,0.141325716719522,0.135550146509379,0.0617959603768078
6,0.986828993360337,265.488013128448,0.921745422825878,0.092690532172244,53.2740145211953,41.315093112524,0.54039590129573,0.040514230630978,58.9700684404614,69.8555599826888,0.024042454236482,0.00972788363976722,3.77888721566771,0.47408107273812,0.162046103234712,0.092690532172244
38,1.13797812174762,1731.9298659349,0.779082443676419,0.15310158060132,42.7707031504049,33.1695592874581,0.127326540142946,0.0650531838890675,984.054819967444,992.384498461159,0.00123884261625364,0.00125315679005557,15.2460977856104,8.01289106949042,0.148590917483345,0.15310158060132
9,0.969626668129428,205.336049182719,0.919799256469979,0.0885622933614583,54.0051331801538,41.882090658,0.969881255989305,0.04107023734896,18.6267909986512,28.7463398514324,0.0873571520932956,0.0197779537785014,2.11328226956234,0.252901659334476,0.172122966688303,0.0885622933614583
