loc,phi,trise,NAR,active_trimer,S2c,S2n,pS2c,pS2n,S4c,S4n,pS22c,pS22n,pS24c,pS24n,pS224c,pS224n
5113,0.00605059211769594,14836.8838610195,0.00175792939905464,33.8040204744873,1.15808434428859,0.812384376164823,3.05786014953269,2.20675117073399,478.809437574735,460.031958377386,1.14288314082664,0.599767750181607,179.60780440919,124.130892496277,67.0386746207011,33.8040204744873
2278,1.19562300100102,4657.73485667416,0.57139235512959,2.00856487043717e-05,0.379643737162271,0.266316216376373,0.219609569484606,0.0817513129829973,0.10728946530288,0.109557697643587,0.00584599260976824,0.000881043196945441,0.00286648078594259,0.0011175018634226,6.84032947815481e-05,2.00856487043717e-05
2066,0.34288324164126,11768.7927690299,0.114021718290256,0.00197777357722634,0.346753248109865,0.243243873276076,1.06749415156184,0.635670483035873,0.294300245227295,0.306749037835331,0.138876921936358,0.0502298393047448,0.0384239582975991,0.0239546327953835,0.00491488231550301,0.00197777357722634
3012,0.522630159722323,9058.01394724831,0.191099575276388,0.0332776625343676,4.1385319318715,2.90313808308573,3.73315266471642,2.39446137493591,0.153204944982521,0.360020311529324,1.69958282516315,0.710042853151762,0.0695503834665841,0.106248653753564,0.029818709898537,0.0332776625343676
3328,1.22183624694759,1265.42167879592,0.809624866009738,0.0111851882165469,23.6482730950998,16.5890228075327,1.33623847897845,0.0438037597159305,12.5631905277805,15.38799620941,0.212273272007593,0.00484578223249164,2.02503400841919,0.116027852668154,0.322801365673211,0.0111851882165469
3537,0.111354498423158,12976.9744450639,0.0347379971803877,16.1248976772232,16.2411166655391,11.3929780003311,5.70427390972377,2.9711685048766,119.374418961197,121.674164423557,3.98337441759083,1.08337903544658,83.3702507945538,44.3421442877398,58.2781934108256,16.1248976772232
4484,1.14522669944145,5425.39618009408,0.52302975767679,0.000873924889205257,0.614492801648593,0.431060444059423,0.134928631209143,0.0538017265055786,18.1328720730491,18.2253108385492,0.00219629105442676,0.000385929781017448,0.298591034416722,0.121276804122499,0.00486395058528162,0.000873924889205257
701,0.100824399339328,14691.1948365694,0.0308662428606904,3.3139063076941e-06,0.00384547692839012,0.00269756291355105,0.00122472950456423,0.00068811443094315,469.803107141862,469.80398686999,1.84153706456478e-07,5.76026700484352e-08,0.070478820413251,0.0396158781876277,1.06004886460707e-05,3.3139063076941e-06
4586,0.82042288988112,7965.68902811547,0.330833314262327,0.0247721522840791,0.89642938267988,0.62883608499329,0.273622032676396,0.278003600359217,17.7262307049829,17.7179334121045,0.00788494270232422,0.0107556479598153,0.59573742063695,0.601910110564694,0.015697613422869,0.0247721522840791
1332,0.964541353129661,1486.95642634067,0.645789289402496,0.00707244039655039,39.6809971266144,27.8358154825822,4.06705514064108,0.144918561901726,0.800297146150738,1.71606948970182,1.99777300505093,0.028200408731338,0.391411934636465,0.0408319701764905,0.19170069077272,0.00707244039655039
2488,0.0934196738716313,10213.7195989357,0.029813609623301,0.27932606396783,4.13456352000891,2.90035422781797,8.70194647397176,6.04270446117378,0.502156605422216,0.507324377948349,9.25949363911693,4.49078746402168,0.535476287939081,0.375415927455759,0.569435726268724,0.27932606396783
2382,1.26045386046523,1717.05450662621,0.754268046834916,1.23538946450346,368.6696792164,258.618026456821,11.9820730493605,1.4281749791025,5.95546367929497,27.2893113869825,17.2578852494636,0.389929640405193,8.59661848214558,5.11101745937002,12.4688193051518,1.23538946450346
1543,0.0268123348335045,8995.7953819268,0.00824449714188701,1.33749910914927,5.87517474450817,4.12137526721144,16.8283089536612,12.3434969845969,0.0231941911291431,0.579661261316327,34.6611656738266,18.6982546093381,0.0506669446358649,0.87389776976526,0.088648429961615,1.33749910914927
2802,0.688060242574706,8611.54303609617,0.262203477283554,0.0111249018457576,1.20530485323412,0.845509083053794,1.20840591333082,0.656834152179099,1.63950116934397,1.6720486051191,0.177769898854748,0.0539672347207626,0.242386981894217,0.134886301071039,0.0356241854985875,0.0111249018457576
4692,0.21334136608753,13623.1733597124,0.067436998960198,0.00228250009935157,0.0960539954822182,0.0673808998820804,0.0883842380500002,0.0489408305067671,63.1169965094714,63.1353975651079,0.000954802614836982,0.00029553501980223,0.68319202797688,0.378777386286161,0.00738622018500536,0.00228250009935157
1227,1.48916312657287,1173.05612364811,0.959970620024955,0.287573354935685,42.0833192580368,29.521019999255,0.629592092871212,0.586016104943923,38.1557935586118,42.0705269863385,0.0363473926861972,0.053448018699733,2.90674102018358,3.05745408729617,0.156967303306692,0.287573354935685
4801,0.174439027197727,13601.7949825072,0.054714649330571,0.00120925008673969,0.0732618439445475,0.0513924376260723,0.55462858788646,0.323390691288433,0.760110121354797,0.76007407075921,0.0375020658809016,0.0129957650482066,0.0516471066010057,0.0301134237835913,0.00349309130650243,0.00120925008673969
4378,1.46609721278178,1797.97694916535,0.869374955789681,3.72449069035348e-06,2.27557723800265,1.59629426426704,0.478755819654312,0.00704086178682245,0.14528284635488,0.153349429228197,0.0277387996609977,0.000344326109268208,0.00842010741793024,0.000236393966990303,0.000493396462765692,3.72449069035348e-06
4902,0.049149680963434,14990.0539750191,0.0149535952157742,0.000207969618544093,0.00829005562546827,0.00581538961827967,0.00761732186942426,0.00454272560966035,335.145305581401,335.139109923133,4.63363788460649e-06,5.00372042156086e-06,0.312836741074941,0.186433984670196,0.000187723492013445,0.000207969618544093
3117,1.52480959487004,1849.30214318763,0.896382316308362,1.03038590732801e-05,1.41513545367402,0.992703112922481,0.28647027631219,0.00634670586089003,1.02889227878697,1.06267465671485,0.00993014441812042,0.00012152817951186,0.0356863760201564,0.00125633275848208,0.00125015333516585,1.03038590732801e-05
1754,0.0767737140468321,12183.7332053942,0.0242596402981909,196.939001461572,31.7555894297571,22.2762227306192,5.72235281128175,15.0166427213215,68.8154371270928,58.1967168558227,4.01153100751185,27.5542092851673,48.9341158498225,106.444231499308,33.2613185705966,196.939001461572
3432,0.300970460492297,11752.4047208491,0.0994305050476688,1.74860719556268,8.66215615760614,6.07641434376808,2.24241075197894,1.14583833720983,87.1044596919428,88.6640187972967,0.615306367902216,0.161321370656634,23.9060511759064,12.4696361659676,6.56947231702448,1.74860719556268
