loc,phi,trise,NAR,active_trimer,S2c,S2n,pS2c,pS2n,S4c,S4n,pS22c,pS22n,pS24c,pS24n,pS224c,pS224n
3287,0.0175735243075426,48.2269195007327,0.0164044625808995,1.01608375020347e-05,0.00422466401401634,0.2431877505911,0.371758962784307,0.00573186574624091,0.658676847361987,0.687045607123495,0.0167246446040791,0.00020281878971251,0.0296434083459377,0.000845876333640551,0.00134850506406674,1.01608375020347e-05
2748,0.000234329979118469,1226.59881668894,0.000181369126672935,0.0339445501184697,0.00072575414972061,0.0417771729460966,0.129590263591274,0.0771760915919406,356.838041839952,356.748102419312,0.0020114425497641,0.000775803374962016,5.666354582598,3.37182244620358,0.0878947184900286,0.0339445501184697
2434,0.0069160964194524,798.764180719652,0.00556820993313791,0.0120390185850154,0.0103988194226836,0.598595650639993,0.219627249345451,0.0859738467238023,95.3517151463115,96.2118696224973,0.00578497679182064,0.00101626045137601,2.55484360048598,1.02411381364165,0.0675031419772981,0.0120390185850154
3905,0.000987441264552821,1196.07846605227,0.00075203735933901,0.000268045739541221,8.73841583433222e-05,0.00503016496325022,0.0706330767327682,0.0386000446468696,11.5985501534743,11.6031452878923,0.000606163489813825,0.000187511452195923,0.100308869102279,0.0549261570519923,0.000859755620391364,0.000268045739541221
1383,0.0118729307753897,469.28164231784,0.0100426953019149,0.000872678936142435,0.00494216925779334,0.284490085094516,0.263482635953032,0.0557331280018571,15.4220685329948,15.7283776631732,0.00839893398931948,0.000460761978321511,0.49397319745648,0.111255640982685,0.0158578640075343,0.000872678936142435
4428,0.0171425516104261,64.674776369474,0.0160304915333413,0.000442285238453273,0.00900368074920208,0.518286155105913,0.142560367193598,0.00867179575070279,46.8624049014055,47.5993131969579,0.00240851831820633,7.02953586301523e-05,0.809245320000094,0.0597970512586461,0.01377496201517,0.000442285238453273
3799,0.013084605698488,377.365295421098,0.0112616146860701,0.000103591365368235,0.00425946828789511,0.245191217150204,0.512832218716339,0.0962900463417636,0.594367959636923,0.618386437544579,0.031853978375452,0.00149365568025831,0.0370388507814129,0.00760618806524345,0.0023211069172323,0.000103591365368235
3380,4.53379736924613e-05,1089.2816504544,3.58230544622467e-05,0.00133684391730155,3.21929243795648e-05,0.00185314733641336,0.0133374513388611,0.00804064274537291,840.684756298885,840.646869839189,1.67853860465019e-05,1.29312710466065e-05,1.37413317387349,0.827604054393892,0.00172367982712758,0.00133684391730155
4640,-0.000275421108272243,743.125001752264,2.60622322383601e-05,14.2155468944888,0.00932333946603777,0.53668692809025,15.5677234919263,13.2427235274213,0.312258499077243,5.36478865790871,29.6974814723091,21.4807458587438,0.626329831136137,8.66997597705763,1.04178179995778,14.2155468944888
4539,0.0001757421731757,552.163751325087,6.57142206307252e-05,1.14355178150983,0.102827905708856,5.91916588019889,31.6779210533821,22.9739931270929,0.010042242073006,0.143765980641538,122.821233814542,64.7772091801565,0.0400921655203309,0.403660180788804,0.148303389153074,1.14355178150983
964,0.0154306959443241,226.289736882904,0.0137777393560512,0.025488646740053,0.038821935050369,2.23473843770065,1.46212925767098,0.316853815168222,9.23465181746831,10.9290081788397,0.255711848603036,0.0173663562038161,1.63622669609025,0.443295464275083,0.285933720205476,0.025488646740053
1699,0.0129330148984628,401.009607006855,0.0110682296174656,0.00138780542054189,0.0130411744112359,0.750699667384814,0.23684246364788,0.038006137983082,55.9459532418673,57.0661630545646,0.00680392799891168,0.000205943292724782,1.60920987490581,0.279836949814629,0.0466463963369027,0.00138780542054189
4222,5.65957477071793e-05,1014.62345891219,4.6966486780649e-05,0.492689514772383,0.000246508362345219,0.0141899601818454,0.249270168801285,0.479348223646657,131.404977306562,127.281866908601,0.00441430482750426,0.0313502073046492,4.06849952860832,7.4189535708153,0.0672286221750591,0.492689514772383
1175,0.00144515506649406,844.241407764737,0.00138427906343849,23.089343906245,0.0888806289373625,5.11630750454335,0.916183579417708,3.60959553282232,142.923625124226,116.253033362488,0.0786933749503205,1.61728144823377,16.4359848867328,51.0172496305785,1.31902657985136,23.089343906245
2014,0.000592283691810994,1013.52238571154,0.000346226741747127,0.845899123789797,0.0021324182342151,0.122750115135449,0.705002724807853,1.10365767357121,46.4071563372061,44.1576737072241,0.0552572763920854,0.154826643259326,4.04479997708303,5.93391117320993,0.30579838016376,0.845899123789797
3590,0.0187666895587944,39.5121106105371,0.0176535673115697,5.92939442169997e-05,0.00294298828150676,0.169409614071342,0.132041797916334,0.000655864190069692,9.57584012639594,9.72983344680702,0.00208743357815517,3.8652596945813e-05,0.152990590057351,0.00270383530223478,0.00242569033179699,5.92939442169997e-05
2647,0.00198089627288351,622.914517572924,0.00146674934838237,140.091318472366,0.762976404878808,43.919827733829,9.74743467635186,15.4857571286826,9.80541752786326,38.6814021464936,11.4929050874148,29.4420265189115,11.9989217553252,73.1794807268042,13.153451259605,140.091318472366
4955,0.00888843740599469,16.7687963483229,0.00836076557842898,0.0384399370380937,0.713551176300066,41.0747233200863,15.1229617715686,0.31381957925098,0.0435871632011817,1.36497655735324,27.6661196763543,0.33481081317545,0.0762036557066899,0.086632122085758,0.135677575508415,0.0384399370380937
754,0.0147240237027538,40.9232975487577,0.0137971995633402,4.75210881854147e-05,0.0182066896183245,1.04804639595028,1.37102099745754,0.0104784628767911,0.110431661463264,0.13187266169299,0.227459091126409,0.00281198482060371,0.0183049192518371,0.000436648673963451,0.00305139474951508,4.75210881854147e-05
2336,-0.000638779657558574,981.904483262428,0.000145682347454007,27.514014253025,0.0221785547550537,1.27668208036157,7.85493945036729,7.68206151803756,31.9687767591267,30.9598209443322,7.55349703525043,7.23552279294745,30.8466331279318,29.0539169247684,29.5129906891504,27.514014253025
4007,0.000441355513716578,1068.10547345018,0.000324430601219939,0.00474257326408815,0.000898359630385318,0.051713001776387,2.063806917178,1.36602612087007,0.0576544462191339,0.142316714391432,0.519628061413316,0.2307619857912,0.0142553059670696,0.0241616867675109,0.00292812761589176,0.00474257326408815
1810,0.0125034321713521,110.192172636769,0.0107996591919075,0.025150460949142,0.214021369725341,12.3198851575539,7.9739915476455,1.28063515600495,0.0584547060998698,0.661841663239984,7.69410358892775,0.292580460515373,0.0549105805187971,0.10999199513593,0.0497100240042839,0.025150460949142
