loc,locj,phi,trise,NAR,active_trimer,S2c,S2n,pS2c,pS2n,S4c,S4n,pS22c,pS22n,pS24c,pS24n,pS224c,pS224n
8,54,0.726995070928163,4961.38180295439,0.0022471104892548,2.53791234810148,13.2786193598632,10.2980687307291,1.11932770737335,2.01981223717495,41.3199051844619,39.9188858421394,0.138922519711122,0.514069866706191,5.70791937017588,9.83631220940094,0.679065475776228,2.53791234810148
25,54,0.216988605141064,4448.90769589032,0.000569417616814536,45.3626103418226,83.4463260298949,64.7157643032735,10.966619063047,12.6930297803182,1.79099969649573,18.5978562984419,14.6620256585626,19.7802901137204,2.51930315209846,28.8364315144993,2.89279944312149,45.3626103418226
32,54,0.189072833816533,8988.67747124615,0.000459409489064619,1.531638430023,2.95482032910836,2.29157432096631,0.27374788497696,0.449458086169918,461.842066292846,448.93712585491,0.00616659955888095,0.0277834675727495,15.6544273474954,24.5540805409402,0.345357244204051,1.531638430023
5,54,0.558411699919476,6050.88195370131,0.000901573155544035,1.45818425271115,10.2041091730461,7.91367044690619,2.20277601303807,1.55214816017211,38.5939823561987,39.2888254268379,0.587744672149717,0.30173320944643,10.412275260132,7.47376958417848,2.77296353733792,1.45818425271115
17,54,1.33663622235046,901.325600849632,0.0396799950552153,0.177110231985241,24.3446779604898,18.8802133769332,0.502476084925654,0.398901297844853,45.3715196748017,49.1438657611325,0.0218929395363403,0.0279551760491018,2.75496302319327,2.44023107716272,0.112310240364517,0.177110231985241
22,54,0.782567593346873,5055.64587694177,0.00415216123071983,0.0389795144779631,1.33396136657832,1.03453721081659,0.190679646151406,0.202909008797024,48.8731750448995,48.7173454698915,0.00319723014483883,0.00630342986964346,1.14499752391737,1.20771527067103,0.0177871711218012,0.0389795144779631
24,54,0.671647510156979,4820.35463983977,0.00309491812345118,7.33211536348751,24.3598792604079,18.8920022071215,1.26449562122956,3.70538333888435,35.8804286658438,34.7685653160312,0.167922348830802,1.70712088768321,5.63587838556266,15.7084180943143,0.674594402208127,7.33211536348751
37,54,0.786100940689124,3409.64869666895,0.00195938689061317,0.0593266930153069,17.8482528774552,13.8419913918089,5.64355976219012,2.714899692824,0.0436557834951547,0.485339743900673,3.86929196027476,0.93471911600629,0.0292583615756183,0.163226200046586,0.0160681027142657,0.0593266930153069
19,54,1.02396849201768,345.207935887319,0.142819904161251,0.0446849595708562,26.2040266305087,20.3222082017997,0.420161861440021,0.0554549807172762,45.896093666418,51.2701628897233,0.0149493958779405,0.00619587926378405,2.30154214886478,0.410086998777103,0.0774293525237518,0.0446849595708562
40,54,0.784549557892768,3431.20642549738,0.00190026384990932,0.000832285242445514,17.5940025626761,13.6448107087919,5.87326363551867,2.67622564858443,0.000579321955783098,0.00698314194482693,4.19332953964842,0.910096440435196,0.000403336055317348,0.00231630234977164,0.000230638061184801,0.000832285242445514
15,54,0.832721759319001,4323.2422177644,0.00379702324987888,2.38385111842683,15.179279713592,11.7721023200689,0.807671289097324,1.92575692528735,42.4834058883762,40.9591602909917,0.0637849940228131,0.470032585792105,4.24849516533348,9.6188181998689,0.30626948310616,2.38385111842683
14,54,0.420470077035978,6633.88765806741,0.00134512389762314,4.89706247952928,8.37559377148166,6.49558796109172,0.991966657399781,2.95672100705195,40.0902697549145,36.4676412589681,0.102321429746662,1.08736928881066,4.9584692655982,13.1249598038563,0.461597579646634,4.89706247952928
11,54,0.0238373987860902,9068.18708866088,6.24580181379586e-05,8.21366064059209,0.537104629627401,0.416544752675204,1.19156238104362,4.0849461099984,37.1581428482773,32.3586503783843,0.15560513901055,2.05761106090065,5.54639746429642,16.0766066579817,0.646542151334769,8.21366064059209
13,54,0.17401614362456,8111.57569069224,0.000483199057268885,6.83769809953113,3.70129774617684,2.87049550901697,1.11165670455697,3.63574222544971,38.360317329753,33.9023510119653,0.132835995758376,1.63440778037147,5.3332432769085,14.9951000794713,0.571290347280098,6.83769809953113
6,54,0.630515748974134,5625.40962712586,0.00118734870331746,1.8229624382661,11.3417401294271,8.7959460403335,1.83451209141107,1.72519332802984,39.4929589380085,39.518569711854,0.402992354301788,0.373950038117686,8.88804617268813,8.34017418036561,1.93728919338232,1.8229624382661
2,54,0.395329318135897,6771.54539023021,0.000526297659560687,0.896586869285539,8.13825968710477,6.31152647086173,2.8027115841607,1.2379115646592,37.1810986307771,38.8814094267953,0.959749882268271,0.189507993003679,12.7398263672933,5.92408316049561,4.37699582875754,0.896586869285539
34,54,0.887449126605016,3853.23906779373,0.00458785445866164,2.25509207603339,16.6567638210238,12.917946828066,1.10228866383824,2.53366215040205,21.1415717521015,22.4566970604411,0.127378745706787,0.806504718660419,2.87613402423497,6.95078091260334,0.292236248969773,2.25509207603339
27,54,0.00849638345355785,1827.73762876722,1.04856085332094e-05,87.0245125937075,547.950924124391,424.956550170796,114.496527829778,83.3488745010474,0.0172377413865048,0.833192249872517,1604.66913304128,852.438831845074,0.252490694741839,8.50479216544366,3.36777506203785,87.0245125937075
38,54,0.784747557176007,3426.59380293826,0.00191273920522833,0.014219347133835,17.6540038356228,13.6913439527578,5.8202131390374,2.68535244880762,0.0100218582877381,0.1185916479595,4.11734472637505,0.91586832735067,0.00691734355650977,0.0394658919941968,0.00391932680652464,0.014219347133835
36,54,0.805845504930213,3315.56623070986,0.00224608439318887,0.253192054850888,18.5619957223243,14.3955258099769,4.91326204649176,2.82346719291356,0.228649462820973,1.93285942268004,2.92494177546332,1.00613408642331,0.134128672332258,0.675052259837082,0.0640163027288511,0.253192054850888
30,54,9.93536346199071e-05,222.66253482226,1.15730773741887e-07,95.589581631991,5227.49271032295,4054.11720612795,1058.39143378481,795.154486272182,0.000201836749870297,0.0100713623209832,137220.48346865,77473.349274409,0.0263292341601128,0.981051111839786,3.39276456153234,95.589581631991
29,54,0.000423192004028623,456.437941006524,4.94232065521629e-07,94.5085584350567,2530.94333264941,1962.84174523153,514.70168790311,384.982066957992,0.000853266279177658,0.0424692617648784,32448.2607517755,18164.0759745142,0.0544538906420661,2.00290521104422,3.39075803951424,94.5085584350567
35,54,1.03078731006053,3000.88292743467,0.00466677244948869,0.96898262769085,19.7031893125278,15.2805645422778,2.60086080427626,2.99705435605024,2.4336183428506,6.72274576156797,0.797464033868598,1.12664629789779,0.767626159624348,2.48120809217608,0.191655481912172,0.96898262769085
